	location	variant	median_ga	ga_upper_80	ga_lower_80
127	USA	BE.1.1	1.836061	1.8378878	1.8336755
128	USA	BE.1.1.1	2.0567935	2.0623555	2.051094
129	USA	BE.1.1.2	1.9717529	1.979634	1.9655873
130	USA	BE.1.2	2.0669007	2.071878	2.062225
131	USA	BE.1.4	1.8039546	1.8075087	1.800893
132	USA	BE.1.4.1	1.7912686	1.7990181	1.7836587
133	USA	BE.2	1.8155584	1.819257	1.810427
134	USA	BE.3	1.7200105	1.7217731	1.7175109
135	USA	BE.4	1.9369996	1.9413263	1.9316431
136	USA	BE.5	1.6367388	1.6437534	1.6322184
137	USA	BF.1	1.6852379	1.6880941	1.6818907
138	USA	BF.1.1	1.3981695	1.405851	1.3919805
139	USA	BF.10	1.8341284	1.835747	1.8321793
140	USA	BF.11	2.168114	2.1722665	2.1642632
141	USA	BF.13	1.9847417	1.9880923	1.9819579
142	USA	BF.14	2.0523531	2.0583389	2.0466561
143	USA	BF.16	1.9246194	1.931658	1.9176663
144	USA	BF.21	1.7582023	1.7600535	1.7565128
145	USA	BF.24	1.7762029	1.7795767	1.7745442
146	USA	BF.25	2.04046	2.0470953	2.033606
147	USA	BF.26	1.8907285	1.8928254	1.8893172
148	USA	BF.27	1.7796931	1.7810502	1.7775004
149	USA	BF.28	1.7164328	1.7185707	1.7138284
150	USA	BF.3	1.885568	1.8907585	1.8798094
151	USA	BF.4	1.7911348	1.795637	1.7876341
152	USA	BF.5	1.913579	1.9154446	1.9109371
153	USA	BF.6	1.8627663	1.8711369	1.8532174
154	USA	BF.7	2.2417653	2.2445948	2.2391262
155	USA	BF.7.4	2.2651005	2.2689638	2.2611022
156	USA	BF.8	1.7349695	1.7366868	1.7327825
157	USA	BF.9	1.7957718	1.7985164	1.7931558
158	USA	BG.2	1.2721932	1.2734739	1.2710447
159	USA	BG.4	1.2141414	1.2207905	1.209773
160	USA	BG.5	1.3064024	1.3103937	1.302476
161	USA	BK.1	1.8697186	1.873391	1.8665581
162	USA	BM.1.1	2.2648914	2.2720773	2.2583482
163	USA	BN.1	2.6682186	2.6769907	2.6593924
164	USA	BQ.1	2.6497276	2.653849	2.6463141
165	USA	BQ.1.1	2.8651152	2.868819	2.861954
166	USA	BQ.1.1.3	2.5724015	2.5787678	2.561005
167	USA	BQ.1.11	2.567154	2.5762722	2.5576613
168	USA	BQ.1.12	2.5048323	2.5121531	2.4962018
169	USA	BQ.1.14	2.6164532	2.6226206	2.6085358
170	USA	BQ.1.2	2.5780158	2.5843399	2.5729742
171	USA	BQ.1.3	2.5968428	2.6042955	2.5897384
172	USA	BQ.1.6	2.2941818	2.3022513	2.286483
173	USA	XAP	1.111479	1.1191342	1.1032704
174	USA	XAS	1.7951705	1.7999332	1.7899938
175	USA	XAZ	1.921497	1.9274691	1.9132695
176	USA	XBB	2.621677	2.6293786	2.6140628
177	USA	XE	1.057236	1.0645522	1.0500209
178	USA	XZ	1.1009883	1.1086028	1.0884836
179	USA	other	1.4554995	1.456783	1.4540092
