	location	variant	parent	median_ga_delta	ga_delta_upper_80	ga_delta_lower_80
164	USA	BQ.1	BE.1.1.1	1.2849319	1.2851775	1.2846164
165	USA	BQ.1.1	BQ.1	1.0374794	1.0378687	1.0370317
166	USA	BQ.1.1.3	BQ.1.1	0.9365065	0.9395606	0.934214
167	USA	BQ.1.11	BQ.1	0.9688758	0.9710569	0.9668366
168	USA	BQ.1.12	BQ.1	0.94722307	0.9495189	0.9448499
169	USA	BQ.1.14	BQ.1	0.9821251	0.98354805	0.97986
170	USA	BQ.1.2	BQ.1	0.97063404	0.97231704	0.9687305
171	USA	BQ.1.3	BQ.1	0.97491074	0.97649455	0.9722884
172	USA	BQ.1.6	BQ.1	0.8891598	0.8911846	0.8870182
173	USA	XAP	BA.2	1.1192384	1.1275362	1.1111958
174	USA	XAS	BA.2	2.1867728	2.1974592	2.1737137
175	USA	XAZ	BA.2	2.4322793	2.4503593	2.411171
176	USA	XBB	BA.2	4.820271	4.8682413	4.781086
177	USA	XE	BA.2	1.0579526	1.0645719	1.0505682
178	USA	XZ	BA.2	1.1014868	1.1123866	1.0881784
179	USA	other	BA.2	1.2256556	1.2303014	1.2221924
