location	variant	date	sequences
USA	B.1	2022-03-01	2
USA	B.1	2022-03-02	9
USA	B.1	2022-03-03	3
USA	B.1	2022-03-04	1
USA	B.1	2022-03-05	3
USA	B.1	2022-03-06	2
USA	B.1	2022-03-07	2
USA	B.1	2022-03-08	3
USA	B.1	2022-03-09	1
USA	B.1	2022-03-10	14
USA	B.1	2022-03-11	4
USA	B.1	2022-03-12	4
USA	B.1	2022-03-13	2
USA	B.1	2022-03-14	4
USA	B.1	2022-03-15	1
USA	B.1	2022-03-16	4
USA	B.1	2022-03-18	1
USA	B.1	2022-03-19	1
USA	B.1	2022-03-20	2
USA	B.1	2022-03-21	6
USA	B.1	2022-03-22	3
USA	B.1	2022-03-24	4
USA	B.1	2022-03-25	6
USA	B.1	2022-03-27	1
USA	B.1	2022-03-28	5
USA	B.1	2022-03-29	2
USA	B.1	2022-03-30	4
USA	B.1	2022-03-31	4
USA	B.1	2022-04-02	5
USA	B.1	2022-04-05	1
USA	B.1	2022-04-06	1
USA	B.1	2022-04-08	2
USA	B.1	2022-04-09	2
USA	B.1	2022-04-11	3
USA	B.1	2022-04-13	1
USA	B.1	2022-04-16	1
USA	B.1	2022-04-17	2
USA	B.1	2022-04-18	3
USA	B.1	2022-04-19	2
USA	B.1	2022-04-20	5
USA	B.1	2022-04-25	1
USA	B.1	2022-04-26	1
USA	B.1	2022-04-29	1
USA	B.1	2022-05-09	1
USA	B.1	2022-05-17	1
USA	B.1	2022-05-21	1
USA	B.1	2022-05-25	1
USA	B.1	2022-05-29	2
USA	B.1	2022-05-31	2
USA	B.1	2022-06-02	2
USA	B.1	2022-06-06	1
USA	B.1	2022-06-13	1
USA	B.1	2022-06-16	1
USA	B.1	2022-06-28	2
USA	B.1	2022-07-07	1
USA	B.1	2022-07-17	1
USA	B.1	2022-07-25	1
USA	B.1	2022-08-04	1
USA	B.1	2022-08-10	1
USA	B.1	2022-08-25	1
USA	B.1	2022-09-02	1
USA	B.1	2022-09-14	1
USA	B.1	2022-09-24	1
USA	B.1	2022-10-12	1
USA	B.1	2022-10-14	1
USA	B.1	2022-10-21	1
USA	B.1	2022-10-23	1
USA	B.1	2022-10-24	1
USA	B.1	2022-11-11	1
USA	B.1	2022-11-14	1
USA	B.1	2022-11-22	1
USA	B.1	2022-12-07	1
USA	B.1	2022-12-21	1
USA	B.1	2022-12-29	1
USA	B.1	2023-02-01	1
USA	B.1.1.529	2022-03-08	1
USA	B.1.1.529	2022-03-11	1
USA	B.1.1.529	2022-03-12	1
USA	B.1.1.529	2022-03-19	1
USA	B.1.1.529	2022-03-20	2
USA	B.1.1.529	2022-04-04	1
USA	B.1.1.529	2022-04-06	1
USA	B.1.1.529	2022-04-07	2
USA	B.1.1.529	2022-04-10	2
USA	B.1.1.529	2022-04-17	1
USA	B.1.1.529	2022-04-19	2
USA	B.1.1.529	2022-04-26	1
USA	B.1.1.529	2022-05-04	1
USA	B.1.1.529	2022-05-05	1
USA	B.1.1.529	2022-05-08	2
USA	B.1.1.529	2022-05-09	2
USA	B.1.1.529	2022-05-10	1
USA	B.1.1.529	2022-05-12	1
USA	B.1.1.529	2022-05-13	2
USA	B.1.1.529	2022-05-15	1
USA	B.1.1.529	2022-05-16	1
USA	B.1.1.529	2022-05-17	1
USA	B.1.1.529	2022-05-19	1
USA	B.1.1.529	2022-05-21	1
USA	B.1.1.529	2022-05-24	1
USA	B.1.1.529	2022-05-25	2
USA	B.1.1.529	2022-05-26	2
USA	B.1.1.529	2022-05-28	1
USA	B.1.1.529	2022-05-31	6
USA	B.1.1.529	2022-06-01	4
USA	B.1.1.529	2022-06-02	6
USA	B.1.1.529	2022-06-03	4
USA	B.1.1.529	2022-06-04	1
USA	B.1.1.529	2022-06-05	3
USA	B.1.1.529	2022-06-06	3
USA	B.1.1.529	2022-06-07	1
USA	B.1.1.529	2022-06-08	4
USA	B.1.1.529	2022-06-09	5
USA	B.1.1.529	2022-06-10	3
USA	B.1.1.529	2022-06-11	1
USA	B.1.1.529	2022-06-12	4
USA	B.1.1.529	2022-06-13	9
USA	B.1.1.529	2022-06-14	7
USA	B.1.1.529	2022-06-15	7
USA	B.1.1.529	2022-06-16	7
USA	B.1.1.529	2022-06-17	2
USA	B.1.1.529	2022-06-18	2
USA	B.1.1.529	2022-06-19	1
USA	B.1.1.529	2022-06-20	8
